iter	Logloss
547	0.5776375216
548	0.5775865987
549	0.5775444256
550	0.5775010269
551	0.5774462338
552	0.5774009622
553	0.5773534829
554	0.5773186599
555	0.5772633604
556	0.5772130396
557	0.5771671014
558	0.5771196649
559	0.5770785793
560	0.5770283201
561	0.5769727812
562	0.5769341924
563	0.5768855587
564	0.5768427794
565	0.5767953932
566	0.5767178188
567	0.5766803422
568	0.5766277488
569	0.5765939227
570	0.5765481304
571	0.5765221421
572	0.5764935412
573	0.5764454831
574	0.5764164071
575	0.5763721431
576	0.5763291733
577	0.5762855364
578	0.5762365747
579	0.5761887405
580	0.5761366824
581	0.5760898873
582	0.5760646242
583	0.5760302801
584	0.575979887
585	0.5759318323
586	0.5758893142
587	0.5758411058
588	0.5758066547
589	0.5757626341
590	0.5757169343
591	0.5756908735
592	0.5756436817
593	0.5755817857
594	0.5755262465
595	0.5754700325
596	0.5754274594
597	0.5753840957
598	0.5753430538
599	0.5752942719
600	0.5752479605
601	0.5751989562
602	0.57515922
603	0.5751040227
604	0.5750740173
605	0.5750365187
606	0.5750196586
607	0.5749914006
608	0.57495048
609	0.5749144294
610	0.5748561127
611	0.5748145485
612	0.5747790421
613	0.5747375294
614	0.5746813761
615	0.5746335016
616	0.5745840038
617	0.5745290124
618	0.5744841281
619	0.5744464825
620	0.5744073376
621	0.5743684774
622	0.5743147902
623	0.5742581494
624	0.5742438626
625	0.5742004512
626	0.5741578991
627	0.5741311427
628	0.5740846656
629	0.5740519397
630	0.5740161575
631	0.5739777177
632	0.5739282817
633	0.5738868782
634	0.5738520668
635	0.5738125077
636	0.5737633013
637	0.5737302648
638	0.5736795409
639	0.5736533364
640	0.5736177998
641	0.5735899063
642	0.5735585803
643	0.5735373008
644	0.573502524
645	0.5734638421
646	0.5734316387
647	0.5733815543
648	0.5733511492
649	0.5733114581
650	0.5732756581
651	0.57322511
652	0.573180451
653	0.5731336464
654	0.573093111
655	0.5730365091
656	0.5730165042
657	0.5729846892
658	0.572935741
659	0.5729038735
660	0.5728826329
661	0.5728385938
662	0.5728015833
663	0.5727708974
664	0.5727118105
665	0.5726735875
666	0.572630014
667	0.5725905986
668	0.5725581631
669	0.5725139414
670	0.5724784118
671	0.5724521754
672	0.5724334805
673	0.5723795098
674	0.572329381
675	0.5722956701
676	0.5722581418
677	0.5722306031
678	0.5721808971
679	0.5721317872
680	0.5720941876
681	0.5720542863
682	0.5720271704
683	0.5719858269
684	0.5719459171
685	0.5719061557
686	0.5718707025
687	0.5718291
688	0.5717902664
689	0.5717493172
690	0.571719193
691	0.571669763
692	0.5716384958
693	0.5715934512
694	0.5715578713
695	0.5715159855
696	0.5714623965
697	0.5714208849
698	0.5713996779
699	0.5713624892
