iter	Logloss
0	0.6888710556
1	0.6848424015
2	0.6811948949
3	0.6778683908
4	0.6745289404
5	0.6713744591
6	0.6682336989
7	0.665463149
8	0.662707714
9	0.6602180314
10	0.657834395
11	0.6554721488
12	0.653229549
13	0.6510233127
14	0.6491339176
15	0.6472334177
16	0.6454838601
17	0.6440284801
18	0.6423505404
19	0.6407912833
20	0.6393486745
21	0.637938362
22	0.6364943751
23	0.635343688
24	0.63422247
25	0.6329815857
26	0.6318596851
27	0.6307588693
28	0.6297780216
29	0.6287554497
30	0.6279019474
31	0.6270017711
32	0.626141993
33	0.6253815281
34	0.6246219826
35	0.6237979006
36	0.623106859
37	0.6223169634
38	0.6216346698
39	0.6209480569
40	0.6203601102
41	0.6196651771
42	0.6189543283
43	0.6183703836
44	0.6177315856
45	0.6171644462
46	0.6165158423
47	0.6158949799
48	0.6154207091
49	0.614857854
50	0.6144089503
51	0.6139784027
52	0.6134956107
53	0.6130735382
54	0.6127731424
55	0.6123583357
56	0.6119576679
57	0.6115094651
58	0.6111437235
59	0.6106924885
60	0.6103529727
61	0.6098975088
62	0.6095850523
63	0.6092295157
64	0.6088751045
65	0.6085506762
66	0.6082326325
67	0.6079596799
68	0.6076328645
69	0.6073614817
70	0.6069659417
71	0.6067567571
72	0.6064083032
73	0.6061449139
74	0.6058331506
75	0.6055493837
76	0.6053107228
77	0.6050578553
78	0.6048630102
79	0.604619927
80	0.6045177386
81	0.6042452961
82	0.6040377781
83	0.6038426215
84	0.603614526
85	0.6034271082
86	0.6031923335
87	0.6029363093
88	0.6027246162
89	0.6024853211
90	0.60230828
91	0.6021261195
92	0.6019997806
93	0.6017692113
94	0.6015567711
95	0.6013169239
96	0.6011467304
97	0.6010083759
98	0.600845238
99	0.6006608561
100	0.6004756184
101	0.6002809261
102	0.6001440521
103	0.5999922036
104	0.5998398667
105	0.5996393047
106	0.5995187817
107	0.5993860379
108	0.5992826128
109	0.5990929595
110	0.5989174316
111	0.5987737872
112	0.5986404202
113	0.5985201923
114	0.598394978
115	0.5982443568
116	0.5981102052
117	0.5979552494
118	0.5978244499
119	0.5976999196
120	0.5975446575
121	0.5973917983
122	0.5972711162
123	0.5971722552
124	0.597084814
125	0.5970399601
126	0.5969481635
127	0.5968978478
128	0.5968033465
129	0.5966516688
130	0.5965348912
131	0.5964686332
132	0.5964236377
133	0.5963386741
134	0.5961749141
135	0.5960241773
136	0.5959011656
137	0.5957839894
138	0.5957313036
139	0.5956277339
140	0.5955729853
141	0.5954758219
142	0.5954097521
143	0.5953334444
144	0.5952769915
145	0.5951945133
146	0.5951370345
147	0.5950595122
148	0.5949261061
149	0.5948550006
150	0.5947717222
151	0.5947163738
152	0.5947163137
153	0.5946567021
154	0.5946151695
155	0.594524338
156	0.5944495238
157	0.5943265732
158	0.5942404788
159	0.5940972998
160	0.5940235137
161	0.5939523681
162	0.5938782569
163	0.5938200775
164	0.5937317447
165	0.5936642871
166	0.5935918604
167	0.5935061941
168	0.5934638171
169	0.5933620882
170	0.593343077
171	0.5932614786
172	0.5931798769
173	0.5931359653
174	0.5930896221
175	0.5930794595
176	0.5929962674
177	0.5928969344
178	0.5928134244
179	0.5927327823
180	0.5926487115
181	0.5925702861
182	0.5925122699
183	0.5924657476
184	0.5924000773
185	0.5923560688
186	0.5923130857
187	0.5922618496
188	0.5922098118
189	0.5921441073
190	0.5920780067
191	0.5920395611
192	0.5919721436
193	0.5918947332
194	0.5918321635
195	0.5918272382
196	0.5917753525
197	0.5917011947
198	0.5916705293
199	0.5916112258
200	0.5915289407
201	0.5914805541
202	0.5914610894
203	0.5914468716
204	0.5914069088
205	0.5913546698
206	0.5913190039
207	0.591282286
208	0.5912273205
209	0.5911729974
210	0.5910932439
211	0.5910397351
212	0.5909301473
213	0.590907365
214	0.5908494007
215	0.590831894
216	0.5907743428
217	0.5906993074
218	0.5905930225
219	0.5905529291
220	0.5905005394
221	0.5904571136
222	0.5904512693
223	0.5904242793
224	0.5904144303
225	0.5903686863
226	0.5903112279
227	0.5902612136
228	0.590202157
229	0.5901298325
230	0.5900705522
231	0.5900160239
232	0.5899352973
233	0.589903808
234	0.5898805666
235	0.5898391823
236	0.5897689332
237	0.5897545329
238	0.5897165783
239	0.5896727356
240	0.5896355591
241	0.5896023047
242	0.5895279257
243	0.5895033704
244	0.5894776461
245	0.5894284036
246	0.5893863263
247	0.5893771686
248	0.5893273379
249	0.5893227313
250	0.5892747243
251	0.5892401823
252	0.5891911054
253	0.5891550122
254	0.5891108239
255	0.5890620796
256	0.5890337395
257	0.5889709522
258	0.5889207106
259	0.5889155747
260	0.5888702498
261	0.5888276241
262	0.5888106158
263	0.5887569745
264	0.5887100266
265	0.5887018177
266	0.5886851065
267	0.5886280571
268	0.5886114368
269	0.5885292847
270	0.5884676279
271	0.5884021498
272	0.5883943219
273	0.588361374
274	0.5883333322
275	0.5883284819
276	0.5883029062
277	0.5882845021
278	0.5882210145
279	0.5881880161
280	0.5881356482
281	0.5881047052
282	0.5880378695
283	0.5879994494
284	0.5879611692
285	0.587924862
286	0.5878704116
287	0.5878079321
288	0.5877791237
289	0.5877616273
290	0.5877137089
291	0.5876618908
292	0.5876362864
293	0.5875989724
294	0.5875828112
295	0.5875497168
296	0.5874982332
297	0.5874668565
298	0.5874185004
299	0.5873872862
300	0.5873395324
301	0.5872908517
302	0.5872868756
303	0.5872313637
304	0.5871726128
305	0.5871442231
306	0.5871133684
307	0.5870761862
308	0.5870613158
309	0.5870230438
310	0.5870149546
311	0.5870045065
312	0.5869769439
313	0.5869422518
314	0.5868859354
315	0.5868838458
316	0.5868596165
317	0.5868319862
318	0.5868103412
319	0.5867937291
320	0.5867609553
321	0.5867292547
322	0.5867099821
323	0.5866749406
324	0.5866700091
325	0.5866358017
326	0.5865939284
327	0.5865351855
328	0.5865325979
329	0.5864949215
330	0.5864720641
331	0.5864700199
332	0.5864648754
333	0.5864484017
334	0.5864292803
335	0.5863534938
336	0.5863244682
337	0.5863215856
338	0.5862807157
339	0.5862573359
340	0.5862212266
341	0.5862068861
342	0.5861608093
343	0.5861222477
344	0.5861112394
345	0.5861049896
346	0.5861029667
347	0.5860739297
348	0.5860285882
349	0.5860257385
350	0.5859497609
351	0.5859445713
352	0.5859009874
353	0.5858807227
354	0.5858175233
355	0.5858090935
356	0.585805942
357	0.58577188
358	0.5857354133
359	0.585690913
360	0.5856701858
361	0.5856465933
362	0.5855742328
363	0.5855718543
364	0.5855474522
365	0.5854853394
366	0.585477883
367	0.5854428022
368	0.5854225779
369	0.585401791
370	0.585375765
371	0.58537328
372	0.5853586039
373	0.5853269151
374	0.5852870991
375	0.585257057
376	0.5852266141
377	0.5851749666
378	0.5851484503
379	0.5851221926
380	0.5850721327
381	0.5850280807
382	0.5849931536
383	0.584918804
384	0.5848749932
385	0.5848237414
386	0.5848030135
387	0.5847746281
388	0.5847399417
389	0.584687623
390	0.5846380075
391	0.5845785073
392	0.5845596091
393	0.5845349964
394	0.584493742
395	0.5844489583
396	0.5844282979
397	0.584393155
398	0.5843486927
399	0.5842881226
400	0.5842524607
401	0.5842111255
402	0.5841394146
403	0.5840929485
404	0.5840445761
405	0.5839892854
406	0.5839560772
407	0.5839156341
408	0.5838690328
409	0.5838517494
410	0.5838288686
411	0.583806899
412	0.5837492417
413	0.5836917475
414	0.5836412547
415	0.5835953923
416	0.5835622829
417	0.5835137997
418	0.5834884066
419	0.5834555154
420	0.583431456
421	0.5834281539
422	0.583385752
423	0.5833386036
424	0.5832928233
425	0.5832524218
426	0.5832328909
427	0.583183493
428	0.5831531864
429	0.5831069355
430	0.5830598906
431	0.5830026333
432	0.5829691246
433	0.5829297363
434	0.5828753619
435	0.582837426
436	0.5828116961
437	0.5827518385
438	0.5826932156
439	0.5826551918
440	0.5826172448
441	0.582576541
442	0.5825453756
443	0.5825163301
444	0.5824808065
445	0.582435946
446	0.582385861
447	0.5823363192
448	0.58227386
449	0.5822365185
450	0.5821775048
451	0.5821303788
452	0.582092145
453	0.5820446135
454	0.5820167177
455	0.5819646586
456	0.5819175498
457	0.5818670062
458	0.5818128893
459	0.5817658958
460	0.5817056905
461	0.5816623677
462	0.5816161782
463	0.5815722277
464	0.5815209432
465	0.5814608652
466	0.5814378101
467	0.5813820068
468	0.5813364361
469	0.581296462
470	0.5812469769
471	0.5811906501
472	0.581134137
473	0.5810887076
474	0.5810479558
475	0.5810133046
476	0.5809558673
477	0.5808963042
478	0.5808546145
479	0.5808140692
480	0.5807772903
481	0.5807155655
482	0.5806685511
483	0.580610995
484	0.5805630551
485	0.5805153092
486	0.5804790295
487	0.5804471205
488	0.5803976429
489	0.5803312285
490	0.5802868189
491	0.5802292464
492	0.5801840404
493	0.5801313796
494	0.580084185
495	0.5800374348
496	0.5800099428
497	0.5799640479
498	0.5799074886
499	0.5798603837
500	0.5798251954
501	0.5797656006
502	0.5797201397
503	0.5796690359
504	0.5796318606
505	0.5795959499
506	0.5795317527
507	0.579486969
508	0.5794524881
509	0.5794089013
510	0.5793621719
511	0.5792989784
512	0.5792671488
513	0.5791964382
514	0.5791499621
515	0.5791042098
516	0.5790602981
517	0.5790442866
518	0.5789796052
519	0.5789229728
520	0.5788913839
521	0.5788368597
522	0.5787863301
523	0.5787307492
524	0.5786818086
525	0.5786249896
526	0.5785737967
527	0.5785303719
528	0.5784822613
529	0.5784406914
530	0.5783857386
531	0.5783331625
532	0.5782942638
533	0.5782624645
534	0.5782140346
535	0.5781839639
536	0.5781371568
537	0.5780871615
538	0.5780452333
539	0.5779892174
540	0.5779375433
541	0.5779015982
542	0.5778468574
543	0.577801005
544	0.5777555006
545	0.5776992989
546	0.5776631757
